청운양로원,서울특별시 종로구 비봉길 76
홍파양로원,서울특별시 노원구 동일로248길 30 (상계동)
혜명양로원,서울특별시 금천구 금하로29길 36(시흥동)
시립고덕양로원,서울특별시 강동구 고덕로 199(고덕동)
서울성모원,서울특별시 영등포구 대림로12가길 7-1
성우회,서울특별시 은평구 통일로92길 13 (불광동)
서울시니어스타워㈜강서본부,서울특별시 강서구 공항대로 315 (등촌동)
섭리의집,서울특별시 금천구 시흥대로40길 111-5섭리의집
서울시니어스타워(주)가양본부,서울특별시 강서구 화곡로68길 102 (등촌동 서울특별시니어스가양타워)
시니어캐슬클라시온,서울특별시 은평구 은평로21길 34-5 (녹번동)
모니카의집,서울특별시 광진구 자양로33길 36(자양동)
쟌쥬강의집,서울특별시 강서구 까치산로14길 67
자애로운성모의집,서울특별시 도봉구 우이천로38마길 19 (쌍문동)
정동상림원,서울특별시 중구 정동길 21-31 (정동)
상암카이저팰리스클래식,서울특별시 마포구 월드컵북로47길 37 (상암동)
시립수락양로원,서울특별시 노원구 동일로250길 44-142 (상계동)
애림원,경기도 시흥시 동서로 895-6 (물왕동)
요셉의집,서울특별시 도봉구 시루봉로15라길69 (방학동)
서울시니어스타워(주)강남본부,서울특별시 강남구 자곡로 100-2 (자곡동 서울특별시니어스강남타워)
하이원빌리지,서울특별시 용산구 한강대로40가길 24103호(한강로2가)
서울시니어스타워(주) 서울본부,서울특별시 중구 다산로 72 (신당동)
THE CLASSIC 500,서울특별시 광진구 능동로 90 (자양동)
노블레스타워,서울특별시 성북구 종암로 90 (종암동)
더시그넘하우스,서울특별시 강남구 자곡로 204-25 (자곡동)204-25 (자곡동 더시그넘하우스)
실버하우스 늘봄,서울특별시 양천구 목동중앙남로3길 42 (목동)
